######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 05-05-2026                                                                                             #
# TIME      : 10-36                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: SimpleCNNBaseline                                                                                      #
# SUBSET    : 5/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=64, lr=0.0010, device=cpu                                                        #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# torchinfo.summary unavailable: No module named 'torchinfo'                                                         #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.2824|  0.1574|  0.2696|  0.1574|  0.0922|  2.2471|  0.2684|  0.4581|  0.2684|  0.2150|
|  002/050|  2.1841|  0.3290|  0.5139|  0.3290|  0.3143|  2.0976|  0.5455|  0.6961|  0.5455|  0.5312|
|  003/050|  1.9320|  0.5874|  0.5845|  0.5874|  0.5423|  1.7435|  0.6234|  0.6855|  0.6234|  0.5969|
|  004/050|  1.4447|  0.6775|  0.6842|  0.6775|  0.6578|  1.2476|  0.7229|  0.7459|  0.7229|  0.7119|
|  005/050|  0.9767|  0.7351|  0.7329|  0.7351|  0.7282|  0.9692|  0.7143|  0.7459|  0.7143|  0.7114|
|  006/050|  0.7441|  0.7785|  0.7762|  0.7785|  0.7758|  0.8266|  0.7489|  0.8073|  0.7489|  0.7570|
|  007/050|  0.6329|  0.7861|  0.7849|  0.7861|  0.7843|  0.7467|  0.7576|  0.7921|  0.7576|  0.7530|
|  008/050|  0.5347|  0.8426|  0.8431|  0.8426|  0.8419|  0.6207|  0.8312|  0.8451|  0.8312|  0.8314|
|  009/050|  0.4763|  0.8502|  0.8530|  0.8502|  0.8498|  0.6262|  0.8052|  0.8298|  0.8052|  0.7978|
|  010/050|  0.4358|  0.8664|  0.8691|  0.8664|  0.8669|  0.5462|  0.8485|  0.8552|  0.8485|  0.8472|
|  011/050|  0.4098|  0.8740|  0.8752|  0.8740|  0.8739|  0.5023|  0.8442|  0.8537|  0.8442|  0.8449|
|  012/050|  0.3615|  0.8969|  0.8985|  0.8969|  0.8970|  0.4596|  0.8615|  0.8667|  0.8615|  0.8604|
|  013/050|  0.3422|  0.9012|  0.9013|  0.9012|  0.9009|  0.4213|  0.8788|  0.8842|  0.8788|  0.8794|
|  014/050|  0.3212|  0.8947|  0.8959|  0.8947|  0.8948|  0.4217|  0.8745|  0.8801|  0.8745|  0.8733|
|  015/050|  0.2995|  0.9001|  0.9001|  0.9001|  0.8998|  0.4323|  0.8701|  0.8825|  0.8701|  0.8724|
|  016/050|  0.2669|  0.9186|  0.9188|  0.9186|  0.9184|  0.4349|  0.8615|  0.8793|  0.8615|  0.8609|
|  017/050|  0.2703|  0.9153|  0.9151|  0.9153|  0.9150|  0.3819|  0.8961|  0.9033|  0.8961|  0.8967|
|  018/050|  0.2289|  0.9294|  0.9301|  0.9294|  0.9294|  0.3687|  0.9221|  0.9258|  0.9221|  0.9211|
|  019/050|  0.2234|  0.9327|  0.9334|  0.9327|  0.9327|  0.3388|  0.9048|  0.9072|  0.9048|  0.9042|
|  020/050|  0.1972|  0.9370|  0.9369|  0.9370|  0.9367|  0.3422|  0.9004|  0.9048|  0.9004|  0.9013|
|  021/050|  0.1969|  0.9262|  0.9266|  0.9262|  0.9262|  0.3171|  0.9177|  0.9190|  0.9177|  0.9177|
|  022/050|  0.1911|  0.9381|  0.9379|  0.9381|  0.9379|  0.2995|  0.9004|  0.9032|  0.9004|  0.8999|
|  023/050|  0.1752|  0.9555|  0.9556|  0.9555|  0.9554|  0.3047|  0.9264|  0.9276|  0.9264|  0.9254|
|  024/050|  0.1616|  0.9403|  0.9406|  0.9403|  0.9402|  0.3028|  0.9134|  0.9165|  0.9134|  0.9129|
|  025/050|  0.1574|  0.9490|  0.9492|  0.9490|  0.9490|  0.3037|  0.9004|  0.9062|  0.9004|  0.8997|
