######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 05-05-2026                                                                                             #
# TIME      : 10-36                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: SimpleCNNBaseline                                                                                      #
# SUBSET    : 2/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=64, lr=0.0010, device=cpu                                                        #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# torchinfo.summary unavailable: No module named 'torchinfo'                                                         #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.2892|  0.1336|  0.0429|  0.1336|  0.0628|  2.2567|  0.1818|  0.0425|  0.1818|  0.0669|
|  002/050|  2.2003|  0.2704|  0.5419|  0.2704|  0.2188|  2.1090|  0.3377|  0.4389|  0.3377|  0.2791|
|  003/050|  1.9530|  0.5472|  0.6016|  0.5472|  0.5122|  1.7226|  0.6450|  0.7011|  0.6450|  0.5996|
|  004/050|  1.4596|  0.6536|  0.6487|  0.6536|  0.6305|  1.2134|  0.6797|  0.8020|  0.6797|  0.6617|
|  005/050|  0.9985|  0.7405|  0.7425|  0.7405|  0.7317|  0.8676|  0.7749|  0.7955|  0.7749|  0.7673|
|  006/050|  0.7462|  0.7720|  0.7691|  0.7720|  0.7686|  0.6548|  0.7965|  0.8196|  0.7965|  0.7919|
|  007/050|  0.6053|  0.8284|  0.8282|  0.8284|  0.8274|  0.5567|  0.8312|  0.8512|  0.8312|  0.8297|
|  008/050|  0.5098|  0.8523|  0.8530|  0.8523|  0.8515|  0.5045|  0.8312|  0.8428|  0.8312|  0.8291|
|  009/050|  0.4561|  0.8621|  0.8616|  0.8621|  0.8614|  0.4473|  0.8615|  0.8712|  0.8615|  0.8616|
