######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 05-05-2026                                                                                             #
# TIME      : 10-36                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: SimpleCNNBaseline                                                                                      #
# SUBSET    : 3/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=64, lr=0.0010, device=cpu                                                        #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# torchinfo.summary unavailable: No module named 'torchinfo'                                                         #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.2941|  0.1346|  0.1924|  0.1346|  0.0667|  2.2655|  0.2121|  0.3363|  0.2121|  0.1530|
|  002/050|  2.2230|  0.3073|  0.4758|  0.3073|  0.2814|  2.1450|  0.4199|  0.5713|  0.4199|  0.3720|
|  003/050|  2.0110|  0.5700|  0.6877|  0.5700|  0.5157|  1.8211|  0.5368|  0.6142|  0.5368|  0.4962|
|  004/050|  1.5587|  0.6319|  0.6697|  0.6319|  0.6075|  1.3097|  0.6320|  0.7235|  0.6320|  0.5977|
|  005/050|  1.0918|  0.6862|  0.6773|  0.6862|  0.6766|  0.9755|  0.6883|  0.7322|  0.6883|  0.6825|
|  006/050|  0.8175|  0.7427|  0.7428|  0.7427|  0.7387|  0.8248|  0.7273|  0.7749|  0.7273|  0.7139|
|  007/050|  0.6951|  0.8046|  0.8068|  0.8046|  0.8029|  0.7213|  0.7879|  0.8297|  0.7879|  0.7863|
|  008/050|  0.6014|  0.8274|  0.8283|  0.8274|  0.8266|  0.6564|  0.8268|  0.8398|  0.8268|  0.8212|
|  009/050|  0.5489|  0.8426|  0.8434|  0.8426|  0.8408|  0.5828|  0.8528|  0.8592|  0.8528|  0.8513|
|  010/050|  0.4793|  0.8697|  0.8703|  0.8697|  0.8690|  0.5633|  0.8528|  0.8721|  0.8528|  0.8521|
|  011/050|  0.4317|  0.8773|  0.8789|  0.8773|  0.8774|  0.5084|  0.8571|  0.8627|  0.8571|  0.8556|
|  012/050|  0.4154|  0.8838|  0.8851|  0.8838|  0.8836|  0.4917|  0.8658|  0.8782|  0.8658|  0.8652|
|  013/050|  0.3739|  0.8947|  0.8977|  0.8947|  0.8951|  0.4402|  0.8788|  0.8803|  0.8788|  0.8781|
|  014/050|  0.3498|  0.9012|  0.9027|  0.9012|  0.9011|  0.4477|  0.8615|  0.8696|  0.8615|  0.8620|
|  015/050|  0.3350|  0.9012|  0.9011|  0.9012|  0.9010|  0.4115|  0.8745|  0.8796|  0.8745|  0.8744|
|  016/050|  0.3114|  0.9001|  0.9016|  0.9001|  0.9001|  0.4107|  0.8615|  0.8696|  0.8615|  0.8599|
|  017/050|  0.3127|  0.9023|  0.9036|  0.9023|  0.9025|  0.4059|  0.8658|  0.8759|  0.8658|  0.8651|
|  018/050|  0.2720|  0.9175|  0.9178|  0.9175|  0.9173|  0.3979|  0.8658|  0.8807|  0.8658|  0.8664|
|  019/050|  0.2655|  0.9262|  0.9269|  0.9262|  0.9263|  0.3552|  0.9048|  0.9105|  0.9048|  0.9033|
|  020/050|  0.2334|  0.9283|  0.9291|  0.9283|  0.9284|  0.3603|  0.9004|  0.9071|  0.9004|  0.8996|
|  021/050|  0.2416|  0.9218|  0.9225|  0.9218|  0.9219|  0.3749|  0.8918|  0.9010|  0.8918|  0.8906|
|  022/050|  0.2338|  0.9283|  0.9282|  0.9283|  0.9280|  0.3753|  0.9091|  0.9172|  0.9091|  0.9084|
|  023/050|  0.2144|  0.9327|  0.9334|  0.9327|  0.9328|  0.4009|  0.8874|  0.9033|  0.8874|  0.8876|
