######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 05-05-2026                                                                                             #
# TIME      : 10-35                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: DenseBaseline                                                                                          #
# SUBSET    : 4/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=16, lr=0.0010, device=cpu                                                        #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# torchinfo.summary unavailable: No module named 'torchinfo'                                                         #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.0971|  0.4332|  0.5080|  0.4332|  0.4110|  1.8968|  0.6623|  0.6500|  0.6623|  0.6401|
|  002/050|  1.7371|  0.7253|  0.7892|  0.7253|  0.6993|  1.6100|  0.7532|  0.7815|  0.7532|  0.7526|
|  003/050|  1.4719|  0.7915|  0.8080|  0.7915|  0.7832|  1.3962|  0.7922|  0.8190|  0.7922|  0.7898|
|  004/050|  1.2734|  0.8056|  0.8206|  0.8056|  0.8013|  1.2392|  0.8009|  0.8177|  0.8009|  0.7961|
|  005/050|  1.1231|  0.8219|  0.8327|  0.8219|  0.8176|  1.1187|  0.8052|  0.8075|  0.8052|  0.8011|
|  006/050|  1.0113|  0.8241|  0.8330|  0.8241|  0.8215|  1.0260|  0.8139|  0.8146|  0.8139|  0.8080|
|  007/050|  0.9229|  0.8469|  0.8518|  0.8469|  0.8456|  0.9507|  0.8225|  0.8242|  0.8225|  0.8195|
|  008/050|  0.8512|  0.8480|  0.8545|  0.8480|  0.8472|  0.8914|  0.8312|  0.8333|  0.8312|  0.8284|
|  009/050|  0.7921|  0.8621|  0.8643|  0.8621|  0.8608|  0.8404|  0.8398|  0.8424|  0.8398|  0.8387|
|  010/050|  0.7437|  0.8643|  0.8671|  0.8643|  0.8637|  0.7985|  0.8442|  0.8460|  0.8442|  0.8413|
|  011/050|  0.6984|  0.8740|  0.8751|  0.8740|  0.8734|  0.7640|  0.8485|  0.8524|  0.8485|  0.8460|
|  012/050|  0.6644|  0.8740|  0.8764|  0.8740|  0.8736|  0.7326|  0.8571|  0.8628|  0.8571|  0.8558|
|  013/050|  0.6319|  0.8784|  0.8797|  0.8784|  0.8781|  0.7036|  0.8658|  0.8707|  0.8658|  0.8644|
|  014/050|  0.6065|  0.8784|  0.8799|  0.8784|  0.8778|  0.6798|  0.8658|  0.8729|  0.8658|  0.8644|
|  015/050|  0.5817|  0.8914|  0.8919|  0.8914|  0.8910|  0.6580|  0.8615|  0.8652|  0.8615|  0.8604|
|  016/050|  0.5587|  0.8849|  0.8859|  0.8849|  0.8844|  0.6412|  0.8701|  0.8733|  0.8701|  0.8683|
|  017/050|  0.5389|  0.8925|  0.8931|  0.8925|  0.8920|  0.6231|  0.8745|  0.8771|  0.8745|  0.8729|
|  018/050|  0.5225|  0.8936|  0.8942|  0.8936|  0.8932|  0.6074|  0.8701|  0.8738|  0.8701|  0.8695|
|  019/050|  0.5061|  0.9012|  0.9012|  0.9012|  0.9009|  0.5938|  0.8788|  0.8822|  0.8788|  0.8783|
|  020/050|  0.4887|  0.9012|  0.9013|  0.9012|  0.9008|  0.5800|  0.8831|  0.8863|  0.8831|  0.8818|
