######################################################################################################################
#                                            EXPERIMENTAL PROTOCOL REPORT                                            #
######################################################################################################################
# DATE      : 05-05-2026                                                                                             #
# TIME      : 10-35                                                                                                  #
# DATASET   : MNIST digits stratified                                                                                #
# CLASSIFIER: DenseBaseline                                                                                          #
# SUBSET    : 2/5                                                                                                    #
# SPLITS    : train=921, val=231, test=288                                                                           #
# TRAINING  : epochs=50, batch_size=16, lr=0.0010, device=cpu                                                        #
# MODEL     : num_classes=10                                                                                         #
# TORCHINFO SUMMARY:                                                                                                 #
# torchinfo.summary unavailable: No module named 'torchinfo'                                                         #
######################################################################################################################

+---------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|  Epoch  | TrLoss | TrAcc  | TrPrec | TrRec  |  TrF1  | VaLoss | VaAcc  | VaPrec | VaRec  |  VaF1  |
+=========+========+========+========+========+========+========+========+========+========+========+
|  001/050|  2.1109|  0.3920|  0.4302|  0.3920|  0.3799|  1.9212|  0.5758|  0.5439|  0.5758|  0.5440|
|  002/050|  1.7554|  0.6732|  0.7306|  0.6732|  0.6553|  1.6284|  0.7186|  0.7378|  0.7186|  0.7000|
|  003/050|  1.4962|  0.7644|  0.7772|  0.7644|  0.7601|  1.4131|  0.7403|  0.7569|  0.7403|  0.7357|
|  004/050|  1.3047|  0.7774|  0.7803|  0.7774|  0.7743|  1.2563|  0.7403|  0.7541|  0.7403|  0.7357|
|  005/050|  1.1676|  0.8024|  0.8084|  0.8024|  0.8000|  1.1354|  0.7662|  0.7744|  0.7662|  0.7652|
|  006/050|  1.0517|  0.8122|  0.8139|  0.8122|  0.8108|  1.0429|  0.7662|  0.7728|  0.7662|  0.7653|
|  007/050|  0.9701|  0.8219|  0.8257|  0.8219|  0.8220|  0.9686|  0.7706|  0.7766|  0.7706|  0.7694|
|  008/050|  0.9001|  0.8328|  0.8340|  0.8328|  0.8323|  0.9088|  0.7879|  0.7949|  0.7879|  0.7868|
|  009/050|  0.8417|  0.8426|  0.8460|  0.8426|  0.8426|  0.8607|  0.7835|  0.7945|  0.7835|  0.7834|
|  010/050|  0.7949|  0.8491|  0.8516|  0.8491|  0.8489|  0.8190|  0.7965|  0.8064|  0.7965|  0.7955|
|  011/050|  0.7536|  0.8556|  0.8582|  0.8556|  0.8558|  0.7850|  0.8095|  0.8148|  0.8095|  0.8083|
|  012/050|  0.7202|  0.8643|  0.8661|  0.8643|  0.8643|  0.7562|  0.8052|  0.8190|  0.8052|  0.8052|
|  013/050|  0.6910|  0.8664|  0.8686|  0.8664|  0.8666|  0.7290|  0.8225|  0.8302|  0.8225|  0.8218|
|  014/050|  0.6608|  0.8686|  0.8698|  0.8686|  0.8685|  0.7077|  0.8312|  0.8412|  0.8312|  0.8312|
|  015/050|  0.6425|  0.8686|  0.8706|  0.8686|  0.8687|  0.6868|  0.8268|  0.8333|  0.8268|  0.8262|
|  016/050|  0.6170|  0.8719|  0.8744|  0.8719|  0.8720|  0.6682|  0.8268|  0.8334|  0.8268|  0.8257|
|  017/050|  0.5990|  0.8773|  0.8788|  0.8773|  0.8773|  0.6536|  0.8355|  0.8442|  0.8355|  0.8353|
|  018/050|  0.5815|  0.8762|  0.8774|  0.8762|  0.8761|  0.6385|  0.8268|  0.8379|  0.8268|  0.8267|
